epoch_idx,k,n_collected,decode_success,c,delta,trial,seed
0,294,1,0,0.1,0.01,11,random
0,294,2,0,0.1,0.01,11,random
0,294,3,0,0.1,0.01,11,random
0,294,4,0,0.1,0.01,11,random
0,294,5,0,0.1,0.01,11,random
0,294,6,0,0.1,0.01,11,random
0,294,7,0,0.1,0.01,11,random
0,294,8,0,0.1,0.01,11,random
0,294,9,0,0.1,0.01,11,random
0,294,10,0,0.1,0.01,11,random
0,294,11,0,0.1,0.01,11,random
0,294,12,0,0.1,0.01,11,random
0,294,13,0,0.1,0.01,11,random
0,294,14,0,0.1,0.01,11,random
0,294,15,0,0.1,0.01,11,random
0,294,16,0,0.1,0.01,11,random
0,294,17,0,0.1,0.01,11,random
0,294,18,0,0.1,0.01,11,random
0,294,19,0,0.1,0.01,11,random
0,294,20,0,0.1,0.01,11,random
0,294,21,0,0.1,0.01,11,random
0,294,22,0,0.1,0.01,11,random
0,294,23,0,0.1,0.01,11,random
0,294,24,0,0.1,0.01,11,random
0,294,25,0,0.1,0.01,11,random
0,294,26,0,0.1,0.01,11,random
0,294,27,0,0.1,0.01,11,random
0,294,28,0,0.1,0.01,11,random
0,294,29,0,0.1,0.01,11,random
0,294,30,0,0.1,0.01,11,random
0,294,31,0,0.1,0.01,11,random
0,294,32,0,0.1,0.01,11,random
0,294,33,0,0.1,0.01,11,random
0,294,34,0,0.1,0.01,11,random
0,294,35,0,0.1,0.01,11,random
0,294,36,0,0.1,0.01,11,random
0,294,37,0,0.1,0.01,11,random
0,294,38,0,0.1,0.01,11,random
0,294,39,0,0.1,0.01,11,random
0,294,40,0,0.1,0.01,11,random
0,294,41,0,0.1,0.01,11,random
0,294,42,0,0.1,0.01,11,random
0,294,43,0,0.1,0.01,11,random
0,294,44,0,0.1,0.01,11,random
0,294,45,0,0.1,0.01,11,random
0,294,46,0,0.1,0.01,11,random
0,294,47,0,0.1,0.01,11,random
0,294,48,0,0.1,0.01,11,random
0,294,49,0,0.1,0.01,11,random
0,294,50,0,0.1,0.01,11,random
0,294,51,0,0.1,0.01,11,random
0,294,52,0,0.1,0.01,11,random
0,294,53,0,0.1,0.01,11,random
0,294,54,0,0.1,0.01,11,random
0,294,55,0,0.1,0.01,11,random
0,294,56,0,0.1,0.01,11,random
0,294,57,0,0.1,0.01,11,random
0,294,58,0,0.1,0.01,11,random
0,294,59,0,0.1,0.01,11,random
0,294,60,0,0.1,0.01,11,random
0,294,61,0,0.1,0.01,11,random
0,294,62,0,0.1,0.01,11,random
0,294,63,0,0.1,0.01,11,random
0,294,64,0,0.1,0.01,11,random
0,294,65,0,0.1,0.01,11,random
0,294,66,0,0.1,0.01,11,random
0,294,67,0,0.1,0.01,11,random
0,294,68,0,0.1,0.01,11,random
0,294,69,0,0.1,0.01,11,random
0,294,70,0,0.1,0.01,11,random
0,294,71,0,0.1,0.01,11,random
0,294,72,0,0.1,0.01,11,random
0,294,73,0,0.1,0.01,11,random
0,294,74,0,0.1,0.01,11,random
0,294,75,0,0.1,0.01,11,random
0,294,76,0,0.1,0.01,11,random
0,294,77,0,0.1,0.01,11,random
0,294,78,0,0.1,0.01,11,random
0,294,79,0,0.1,0.01,11,random
0,294,80,0,0.1,0.01,11,random
0,294,81,0,0.1,0.01,11,random
0,294,82,0,0.1,0.01,11,random
0,294,83,0,0.1,0.01,11,random
0,294,84,0,0.1,0.01,11,random
0,294,85,0,0.1,0.01,11,random
0,294,86,0,0.1,0.01,11,random
0,294,87,0,0.1,0.01,11,random
0,294,88,0,0.1,0.01,11,random
0,294,89,0,0.1,0.01,11,random
0,294,90,0,0.1,0.01,11,random
0,294,91,0,0.1,0.01,11,random
0,294,92,0,0.1,0.01,11,random
0,294,93,0,0.1,0.01,11,random
0,294,94,0,0.1,0.01,11,random
0,294,95,0,0.1,0.01,11,random
0,294,96,0,0.1,0.01,11,random
0,294,97,0,0.1,0.01,11,random
0,294,98,0,0.1,0.01,11,random
0,294,99,0,0.1,0.01,11,random
0,294,100,0,0.1,0.01,11,random
0,294,101,0,0.1,0.01,11,random
0,294,102,0,0.1,0.01,11,random
0,294,103,0,0.1,0.01,11,random
0,294,104,0,0.1,0.01,11,random
0,294,105,0,0.1,0.01,11,random
0,294,106,0,0.1,0.01,11,random
0,294,107,0,0.1,0.01,11,random
0,294,108,0,0.1,0.01,11,random
0,294,109,0,0.1,0.01,11,random
0,294,110,0,0.1,0.01,11,random
0,294,111,0,0.1,0.01,11,random
0,294,112,0,0.1,0.01,11,random
0,294,113,0,0.1,0.01,11,random
0,294,114,0,0.1,0.01,11,random
0,294,115,0,0.1,0.01,11,random
0,294,116,0,0.1,0.01,11,random
0,294,117,0,0.1,0.01,11,random
0,294,118,0,0.1,0.01,11,random
0,294,119,0,0.1,0.01,11,random
0,294,120,0,0.1,0.01,11,random
0,294,121,0,0.1,0.01,11,random
0,294,122,0,0.1,0.01,11,random
0,294,123,0,0.1,0.01,11,random
0,294,124,0,0.1,0.01,11,random
0,294,125,0,0.1,0.01,11,random
0,294,126,0,0.1,0.01,11,random
0,294,127,0,0.1,0.01,11,random
0,294,128,0,0.1,0.01,11,random
0,294,129,0,0.1,0.01,11,random
0,294,130,0,0.1,0.01,11,random
0,294,131,0,0.1,0.01,11,random
0,294,132,0,0.1,0.01,11,random
0,294,133,0,0.1,0.01,11,random
